"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
34,"c","a",2240,9,2009,0,,,""
35,"d","c",7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
36,"a","c",540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
37,"c","a",4230,12,2014,0,,,""
38,"d","a",1090,4,2007,0,,,""
39,"a","a",260,10,2006,1,31,2013,"Feb,May,Aug,Nov"
40,"a","a",180,,,1,45,2009,"Feb,May,Aug,Nov"
41,"d","c",1180,,,1,31,2013,"Jan,Apr,Jul,Oct"
42,"a","c",290,,,1,40,2011,"Jan,Apr,Jul,Oct"
43,"d","a",4880,,,1,37,2009,"Jan,Apr,Jul,Oct"
44,"a","a",540,6,2011,0,,,""
45,"d","a",9710,2,2014,0,,,""
46,"c","a",1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
47,"a","c",270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
48,"a","a",1060,5,2012,0,,,""
49,"d","c",18010,9,2007,0,,,""
50,"d","a",6260,11,2009,0,,,""
51,"a","c",10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct"
52,"d","c",450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
53,"a","c",30360,9,2013,0,,,""
54,"d","c",7170,8,2014,1,5,2013,"Feb,May,Aug,Nov"
55,"a","a",720,11,2004,0,,,""
56,"d","c",6620,3,2012,1,10,2014,"Mar,Jun,Sept,Dec"
57,"d","c",420,6,2014,0,,,""
58,"a","c",7340,5,2008,1,27,2012,"Jan,Apr,Jul,Oct"
59,"a","c",2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
60,"d","c",5540,10,2009,0,,,""
61,"a","c",350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
62,"a","a",2050,,,0,,,""
63,"c","c",3700,6,2010,1,18,2010,"Feb,May,Aug,Nov"
64,"d","c",22560,,,1,14,2013,"Jan,Apr,Jul,Oct"
65,"a","c",13840,5,2010,1,1,2012,"Jan,Apr,Jul,Oct"
66,"d","a",7660,,,1,37,2009,"Jan,Apr,Jul,Oct"
67,"a","c",410,2,2006,0,,,""
68,"a","c",250,,,1,35,2012,"Mar,Jun,Sept,Dec"
69,"c","c",1130,,,1,40,2011,"Jan,Apr,Jul,Oct"
70,"c","c",4840,,,0,,,""
71,"a","a",17500,8,2008,1,37,2009,"Mar,Jun,Sept,Dec"
72,"a","a",2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct"
73,"a","c",1650,9,2008,0,,,""
74,"a","a",330,,,0,,,""
75,"d","c",22440,12,2013,0,,,""
76,"d","c",19960,3,2006,0,,,""
77,"d","c",1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
78,"a","a",3510,11,2006,1,5,2013,"Feb,May,Aug,Nov"
79,"a","a",3320,,,0,,,""
80,"d","a",7910,,,0,,,""
81,"a","a",2370,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
82,"a","a",22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
83,"a","a",2710,,,0,,,""
84,"a","c",11810,8,2014,0,,,""
85,"b","a",1870,10,2011,0,,,""
86,"a","a",480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
87,"a","a",560,12,2010,0,,,""
88,"a","a",10690,10,2005,0,,,""
89,"a","a",2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct"
90,"a","a",330,11,2007,0,,,""
91,"c","a",2410,,,1,35,2011,"Jan,Apr,Jul,Oct"
92,"c","a",240,,,1,45,2009,"Feb,May,Aug,Nov"
93,"a","a",16690,,,1,14,2011,"Jan,Apr,Jul,Oct"
94,"d","c",14620,,,0,,,""
95,"a","a",1890,10,2014,0,,,""
96,"a","a",8780,2,2005,1,37,2009,"Jan,Apr,Jul,Oct"
97,"d","c",8980,,,0,,,""
98,"d","c",15140,12,2006,1,1,2012,"Jan,Apr,Jul,Oct"
99,"c","c",2030,11,2003,1,22,2012,"Mar,Jun,Sept,Dec"
100,"d","a",17930,,,0,,,""
101,"d","c",2440,,,1,22,2012,"Mar,Jun,Sept,Dec"
102,"a","a",150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
103,"d","c",5210,5,2015,0,,,""
104,"a","a",390,6,2009,0,,,""
105,"a","c",6190,,,1,23,2013,"Mar,Jun,Sept,Dec"
106,"a","a",1390,8,2013,0,,,""
107,"a","a",1930,9,2009,0,,,""
108,"d","c",2190,9,2003,0,,,""
109,"a","c",3300,11,2010,0,,,""
110,"a","c",46590,4,2013,0,,,""
111,"d","c",7890,,,1,37,2009,"Jan,Apr,Jul,Oct"
112,"a","a",1630,9,2009,0,,,""
113,"d","c",20930,11,1999,0,,,""
114,"c","a",4510,,,1,48,2011,"Mar,Jun,Sept,Dec"
115,"d","c",5740,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
116,"a","a",680,4,2013,0,,,""
117,"a","a",3450,9,2011,0,,,""
118,"d","c",3580,9,2012,0,,,""
119,"a","c",2100,2,2010,0,,,""
120,"d","a",2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
121,"a","a",3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec"
122,"a","c",58260,4,2013,0,,,""
123,"a","a",16760,9,2011,0,,,""
124,"a","a",1410,4,2003,0,,,""
125,"a","a",760,12,2005,0,,,""
126,"d","a",3370,10,2014,1,18,2011,"Feb,May,Aug,Nov"
127,"d","a",1350,12,2005,1,13,2010,"Jan,Apr,Jul,Oct"
128,"d","c",2000,,,1,1,2013,"Jan,Apr,Jul,Oct"
129,"a","a",2460,,,1,14,2011,"Jan,Apr,Jul,Oct"
130,"c","a",900,,,1,13,2010,"Jan,Apr,Jul,Oct"
131,"c","a",920,7,2015,0,,,""
132,"d","c",1040,,,1,27,2012,"Jan,Apr,Jul,Oct"
133,"a","a",270,8,2013,1,10,2014,"Mar,Jun,Sept,Dec"
134,"a","a",1200,9,2008,0,,,""
135,"d","a",5190,,,1,1,2013,"Jan,Apr,Jul,Oct"
136,"a","c",2200,12,2010,1,22,2012,"Feb,May,Aug,Nov"
137,"a","a",1730,7,2015,1,40,2014,"Jan,Apr,Jul,Oct"
138,"a","c",25360,10,2014,0,,,""
139,"a","a",1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct"
140,"a","c",1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
141,"c","c",1540,,,1,22,2012,"Mar,Jun,Sept,Dec"
142,"a","a",1090,7,2002,0,,,""
143,"d","a",2930,12,2002,0,,,""
144,"a","c",16570,,,0,,,""
145,"a","a",280,,,1,45,2009,"Feb,May,Aug,Nov"
146,"d","c",8050,10,1961,1,48,2012,"Jan,Apr,Jul,Oct"
147,"d","c",8540,,,0,,,""
148,"a","a",2090,12,2008,0,,,""
149,"d","a",2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct"
150,"c","c",31830,3,2010,0,,,""
151,"d","c",4360,10,2005,0,,,""
152,"a","a",1780,,,0,,,""
153,"a","a",16240,10,2000,1,18,2011,"Feb,May,Aug,Nov"
154,"d","c",16420,,,0,,,""
155,"d","a",3050,,,1,35,2010,"Jan,Apr,Jul,Oct"
156,"a","a",2020,2,2011,1,14,2011,"Mar,Jun,Sept,Dec"
157,"a","c",2950,10,2004,0,,,""
158,"d","c",11840,,,1,31,2009,"Feb,May,Aug,Nov"
159,"d","a",8530,3,2013,0,,,""
160,"d","c",17110,11,2005,0,,,""
161,"a","c",2970,3,2005,0,,,""
162,"d","c",5340,3,2012,1,13,2010,"Jan,Apr,Jul,Oct"
163,"a","a",1480,4,2009,0,,,""
164,"a","a",1160,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
165,"a","a",3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct"
166,"a","c",100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
167,"a","a",140,4,2008,0,,,""
168,"a","a",12540,,,0,,,""
169,"d","a",980,7,2014,1,18,2014,"Feb,May,Aug,Nov"
170,"a","a",1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
171,"a","a",2640,,,0,,,""
172,"a","a",110,,,1,40,2014,"Jan,Apr,Jul,Oct"
173,"a","a",350,12,2012,0,,,""
174,"a","a",13090,,,1,22,2012,"Jan,Apr,Jul,Oct"
175,"c","a",4130,,,0,,,""
176,"a","a",3770,,,0,,,""
177,"a","a",1250,2,2004,1,5,2013,"Feb,May,Aug,Nov"
178,"d","a",1710,,,0,,,""
179,"a","c",480,,,0,,,""
180,"d","a",5800,9,2010,0,,,""
181,"a","a",12610,3,2013,1,14,2011,"Jan,Apr,Jul,Oct"
182,"d","c",1390,,,1,9,2011,"Mar,Jun,Sept,Dec"
183,"a","a",9670,,,0,,,""
184,"d","c",3560,,,0,,,""
185,"d","c",1860,5,2015,0,,,""
186,"a","a",290,10,2011,1,40,2014,"Jan,Apr,Jul,Oct"
187,"a","c",19360,,,0,,,""
188,"d","a",850,,,1,18,2011,"Feb,May,Aug,Nov"
189,"d","a",5760,7,2014,0,,,""
190,"a","a",1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct"
191,"a","a",1100,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
192,"d","c",2770,3,2008,1,40,2014,"Jan,Apr,Jul,Oct"
193,"a","a",520,,,0,,,""
194,"d","c",16970,,,1,5,2013,"Feb,May,Aug,Nov"
195,"a","c",220,,,0,,,""
196,"c","a",3850,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
197,"c","a",4210,3,2015,0,,,""
198,"a","a",290,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
199,"d","c",6360,12,2010,1,14,2012,"Mar,Jun,Sept,Dec"
200,"a","a",1650,10,2000,0,,,""
201,"d","a",20260,,,1,18,2014,"Mar,Jun,Sept,Dec"
202,"d","c",5140,5,2010,0,,,""
203,"c","c",490,11,2002,0,,,""
204,"a","a",5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
205,"a","a",110,12,2007,0,,,""
206,"a","c",380,,,1,14,2012,"Jan,Apr,Jul,Oct"
207,"a","a",6870,,,0,,,""
208,"c","a",300,4,2006,0,,,""
209,"a","c",11680,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
210,"d","a",970,11,1999,1,5,2013,"Feb,May,Aug,Nov"
211,"a","c",350,11,2006,0,,,""
212,"a","c",15050,9,2008,0,,,""
213,"d","c",4030,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
214,"d","a",8650,7,2013,1,10,2014,"Jan,Apr,Jul,Oct"
215,"d","a",150,,,1,45,2009,"Feb,May,Aug,Nov"
216,"c","a",190,,,1,45,2009,"Feb,May,Aug,Nov"
217,"c","a",3150,,,0,,,""
218,"a","c",640,,,1,9,2011,"Mar,Jun,Sept,Dec"
219,"a","a",1640,2,2013,0,,,""
220,"a","a",1000,9,2008,0,,,""
221,"d","c",13530,9,2013,0,,,""
222,"a","a",2170,11,2008,0,,,""
223,"d","c",2920,10,1995,1,27,2011,"Jan,Apr,Jul,Oct"
224,"d","c",7930,,,1,1,2013,"Jan,Apr,Jul,Oct"
225,"d","a",10180,5,2015,0,,,""
226,"a","a",450,,,0,,,""
227,"a","a",2370,,,0,,,""
228,"d","c",10800,,,1,18,2011,"Feb,May,Aug,Nov"
229,"d","c",17410,4,2007,1,14,2011,"Jan,Apr,Jul,Oct"
230,"d","c",6680,9,2013,0,,,""
231,"d","c",3840,10,2008,1,39,2010,"Feb,May,Aug,Nov"
232,"c","c",13570,5,2010,1,10,2013,"Mar,Jun,Sept,Dec"
233,"a","a",1890,,,0,,,""
234,"d","a",4370,,,0,,,""
235,"a","a",5710,3,2012,1,37,2009,"Jan,Apr,Jul,Oct"
236,"a","a",1000,11,2007,0,,,""
237,"a","a",1420,11,2007,0,,,""
238,"a","a",320,,,1,45,2009,"Feb,May,Aug,Nov"
239,"d","c",610,,,0,,,""
240,"a","a",1110,5,2009,0,,,""
241,"d","c",780,,,0,,,""
242,"d","a",6880,9,2001,1,14,2011,"Jan,Apr,Jul,Oct"
243,"a","a",310,,,1,5,2013,"Feb,May,Aug,Nov"
244,"d","a",710,3,2012,1,1,2012,"Jan,Apr,Jul,Oct"
245,"a","c",1310,,,0,,,""
246,"c","a",4660,4,2013,0,,,""
247,"d","c",70,11,2010,1,5,2013,"Feb,May,Aug,Nov"
248,"a","c",340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
249,"d","c",18010,9,2014,0,,,""
250,"d","a",3520,,,1,18,2012,"Feb,May,Aug,Nov"
251,"a","c",340,,,0,,,""
252,"d","c",22330,,,1,5,2010,"Feb,May,Aug,Nov"
253,"a","c",250,,,1,5,2013,"Feb,May,Aug,Nov"
254,"d","a",330,3,2008,1,1,2012,"Mar,Jun,Sept,Dec"
255,"c","c",4630,3,2011,1,35,2011,"Feb,May,Aug,Nov"
256,"a","c",80,9,2005,1,10,2014,"Mar,Jun,Sept,Dec"
257,"a","a",420,12,2012,0,,,""
258,"a","a",27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
259,"b","b",210,,,0,,,""
260,"a","a",540,10,2011,0,,,""
261,"d","c",15340,4,2015,1,39,2009,"Jan,Apr,Jul,Oct"
262,"b","a",1180,5,2013,0,,,""
263,"a","c",1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
264,"a","a",180,3,2014,0,,,""
265,"a","a",4580,,,1,14,2015,"Jan,Apr,Jul,Oct"
266,"a","c",360,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
267,"c","a",2460,1,2012,0,,,""
268,"a","a",4520,2,2014,0,,,""
269,"a","c",60,6,2015,0,,,""
270,"a","a",1450,7,2014,0,,,""
271,"a","a",420,,,1,14,2011,"Jan,Apr,Jul,Oct"
272,"a","a",16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct"
273,"a","c",8480,,,0,,,""
274,"b","b",3640,,,1,10,2013,"Jan,Apr,Jul,Oct"
275,"d","a",300,5,2014,1,40,2014,"Jan,Apr,Jul,Oct"
276,"a","a",2960,10,2014,1,36,2013,"Mar,Jun,Sept,Dec"
277,"d","c",7840,,,1,31,2009,"Feb,May,Aug,Nov"
278,"a","c",9260,2,2010,0,,,""
279,"d","c",2320,,,1,40,2012,"Jan,Apr,Jul,Oct"
280,"d","c",18640,9,2013,1,10,2014,"Mar,Jun,Sept,Dec"
281,"d","c",6970,9,2011,0,,,""
282,"a","a",1220,12,2010,0,,,""
283,"a","a",2260,,,1,40,2014,"Jan,Apr,Jul,Oct"
284,"d","a",1290,,,1,40,2014,"Jan,Apr,Jul,Oct"
285,"a","a",2410,,,0,,,""
286,"a","a",1460,4,2015,0,,,""
287,"c","a",2740,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
288,"d","a",800,,,1,14,2011,"Mar,Jun,Sept,Dec"
289,"d","a",6540,12,2007,0,,,""
290,"a","a",4150,5,2001,0,,,""
291,"d","a",,,,0,,,""
292,"a","a",1100,6,2009,0,,,""
293,"c","c",140,11,2007,0,,,""
294,"a","a",3150,5,2005,0,,,""
295,"a","a",210,11,2000,1,36,2013,"Mar,Jun,Sept,Dec"
296,"a","a",9580,5,2007,1,45,2014,"Feb,May,Aug,Nov"
297,"a","a",2300,9,2010,0,,,""
298,"d","a",19840,7,2009,0,,,""
299,"d","c",38630,9,2012,0,,,""
300,"a","c",120,4,2009,1,1,2012,"Jan,Apr,Jul,Oct"
301,"a","c",4510,3,2015,0,,,""
302,"d","c",2190,12,2007,1,9,2011,"Mar,Jun,Sept,Dec"
303,"a","a",15430,11,2012,1,18,2011,"Feb,May,Aug,Nov"
304,"a","a",1950,7,2015,0,,,""
305,"c","c",2470,2,2005,1,31,2013,"Mar,Jun,Sept,Dec"
306,"a","a",5100,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
307,"a","a",18660,9,2002,0,,,""
308,"a","a",1070,12,2006,1,13,2010,"Jan,Apr,Jul,Oct"
309,"d","a",8740,,,1,37,2009,"Feb,May,Aug,Nov"
310,"a","c",2290,,,1,10,2014,"Mar,Jun,Sept,Dec"
311,"a","c",680,7,2005,0,,,""
312,"d","a",11300,3,2012,0,,,""
313,"d","c",14160,,,0,,,""
314,"a","a",3560,10,2001,1,31,2013,"Feb,May,Aug,Nov"
315,"a","c",38710,4,2013,0,,,""
316,"d","a",9000,8,2001,0,,,""
317,"d","a",3140,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
318,"d","c",32330,3,2014,0,,,""
319,"a","c",570,9,2012,1,27,2012,"Mar,Jun,Sept,Dec"
320,"a","c",210,9,2012,0,,,""
321,"c","c",8140,11,2013,1,10,2014,"Mar,Jun,Sept,Dec"
322,"a","a",17500,4,2001,1,37,2009,"Jan,Apr,Jul,Oct"
323,"d","c",8400,4,2012,1,5,2013,"Feb,May,Aug,Nov"
324,"a","a",13140,,,1,14,2011,"Jan,Apr,Jul,Oct"
325,"a","c",350,3,2011,1,22,2011,"Feb,May,Aug,Nov"
326,"d","a",10070,5,2015,1,31,2013,"Feb,May,Aug,Nov"
327,"c","c",1390,12,2004,0,,,""
328,"a","a",3130,7,2002,0,,,""
329,"a","a",1310,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
330,"a","c",370,,,1,22,2012,"Mar,Jun,Sept,Dec"
331,"a","c",670,,,1,14,2015,"Jan,Apr,Jul,Oct"
332,"a","a",1840,3,2006,0,,,""
333,"a","c",3720,2,2010,0,,,""
334,"d","c",4040,8,2008,1,18,2013,"Mar,Jun,Sept,Dec"
335,"b","a",90,,,1,31,2013,"Jan,Apr,Jul,Oct"
336,"a","a",190,7,2014,0,,,""
337,"d","c",10600,7,2005,1,45,2014,"Feb,May,Aug,Nov"
338,"a","c",1590,,,1,37,2009,"Jan,Apr,Jul,Oct"
339,"a","c",2280,,,1,10,2013,"Mar,Jun,Sept,Dec"
340,"a","c",8080,,,0,,,""
341,"a","a",190,9,2011,0,,,""
342,"d","c",15770,,,1,40,2014,"Jan,Apr,Jul,Oct"
343,"d","a",18650,4,2004,1,14,2014,"Jan,Apr,Jul,Oct"
344,"a","c",300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct"
345,"a","a",120,,,1,22,2012,"Jan,Apr,Jul,Oct"
346,"a","c",8090,,,0,,,""
347,"d","c",9360,7,2013,1,22,2012,"Mar,Jun,Sept,Dec"
348,"a","a",16490,,,1,22,2012,"Jan,Apr,Jul,Oct"
349,"c","c",1490,4,2009,0,,,""
350,"d","a",8880,,,1,14,2011,"Jan,Apr,Jul,Oct"
351,"a","a",5290,11,2012,1,5,2013,"Feb,May,Aug,Nov"
352,"d","c",6360,,,1,40,2012,"Mar,Jun,Sept,Dec"
353,"b","b",900,,,1,14,2013,"Feb,May,Aug,Nov"
354,"d","c",1500,10,2005,0,,,""
355,"a","c",9720,8,2013,0,,,""
356,"d","c",8970,12,2007,1,22,2012,"Feb,May,Aug,Nov"
357,"a","a",2060,10,2008,0,,,""
358,"a","a",2890,10,2003,0,,,""
359,"d","c",4370,,,0,,,""
360,"a","a",2040,6,2007,0,,,""
361,"c","c",4490,5,2014,1,5,2013,"Feb,May,Aug,Nov"
362,"c","c",340,,,0,,,""
363,"a","a",250,9,2009,0,,,""
364,"a","c",13620,,,1,10,2014,"Mar,Jun,Sept,Dec"
365,"c","a",2410,,,1,45,2009,"Feb,May,Aug,Nov"
366,"d","c",6470,12,2004,0,,,""
367,"d","c",2640,9,2012,0,,,""
368,"d","c",1450,4,2005,1,45,2009,"Feb,May,Aug,Nov"
369,"d","c",5870,4,2014,0,,,""
370,"d","a",8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct"
371,"d","c",1970,7,2009,1,45,2014,"Feb,May,Aug,Nov"
372,"d","c",4880,8,2010,1,18,2014,"Jan,Apr,Jul,Oct"
373,"d","c",11120,,,1,22,2012,"Jan,Apr,Jul,Oct"
374,"a","a",1150,9,2007,0,,,""
375,"a","c",15710,2,2013,1,37,2009,"Jan,Apr,Jul,Oct"
376,"a","a",160,8,2012,0,,,""
377,"a","c",100,6,2010,1,18,2010,"Feb,May,Aug,Nov"
378,"a","c",2140,8,2012,0,,,""
379,"d","a",6630,,,0,,,""
380,"a","a",2240,5,2013,1,10,2014,"Mar,Jun,Sept,Dec"
381,"a","a",1800,11,2006,1,5,2013,"Feb,May,Aug,Nov"
382,"c","c",26130,11,2002,0,,,""
383,"a","c",350,,,0,,,""
384,"a","c",130,,,1,14,2011,"Jan,Apr,Jul,Oct"
385,"d","a",4580,9,2007,0,,,""
386,"d","c",1460,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
387,"c","a",210,,,1,36,2013,"Mar,Jun,Sept,Dec"
388,"a","a",2260,,,0,,,""
389,"a","c",6690,8,2011,0,,,""
390,"a","c",1600,4,2009,0,,,""
391,"a","a",460,11,2014,1,31,2013,"Feb,May,Aug,Nov"
392,"a","a",2120,,,0,,,""
393,"d","c",4820,3,2008,0,,,""
394,"d","a",10850,,,0,,,""
395,"a","a",3620,2,2013,0,,,""
396,"a","c",23130,,,0,,,""
397,"a","c",130,,,1,27,2013,"Feb,May,Aug,Nov"
398,"c","c",1540,,,1,1,2012,"Jan,Apr,Jul,Oct"
399,"a","a",5360,9,2012,1,40,2011,"Jan,Apr,Jul,Oct"
400,"a","a",70,11,2004,1,14,2011,"Jan,Apr,Jul,Oct"
401,"a","c",9200,10,2009,1,14,2012,"Jan,Apr,Jul,Oct"
402,"c","c",5830,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
403,"a","a",4970,7,2015,0,,,""
404,"a","c",1420,,,1,10,2013,"Mar,Jun,Sept,Dec"
405,"a","a",1080,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
406,"d","c",8240,3,2001,1,10,2013,"Feb,May,Aug,Nov"
407,"a","a",5890,10,2003,1,14,2011,"Feb,May,Aug,Nov"
408,"c","a",1560,,,1,45,2009,"Feb,May,Aug,Nov"
409,"d","c",840,,,1,1,2013,"Jan,Apr,Jul,Oct"
410,"c","a",40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
411,"d","c",8460,,,0,,,""
412,"d","c",4460,,,1,39,2010,"Jan,Apr,Jul,Oct"
413,"a","c",760,9,2014,0,,,""
414,"d","c",6210,,,1,1,2013,"Jan,Apr,Jul,Oct"
415,"d","c",6910,4,2005,0,,,""
416,"a","c",4650,6,2014,0,,,""
417,"a","c",840,,,1,10,2014,"Jan,Apr,Jul,Oct"
418,"a","a",1060,5,2009,1,27,2011,"Feb,May,Aug,Nov"
419,"c","a",1620,9,2009,0,,,""
420,"d","c",250,,,1,27,2012,"Jan,Apr,Jul,Oct"
421,"c","c",3530,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
422,"a","c",2880,,,0,,,""
423,"b","a",1270,5,2014,0,,,""
424,"d","c",1250,,,1,40,2011,"Jan,Apr,Jul,Oct"
425,"d","c",1460,,,0,,,""
426,"a","a",250,,,0,,,""
427,"a","c",70,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
428,"d","a",2960,12,2014,1,23,2015,"Mar,Jun,Sept,Dec"
429,"d","c",16350,7,2005,1,31,2013,"Jan,Apr,Jul,Oct"
430,"d","c",12870,10,2008,0,,,""
431,"d","c",4520,,,0,,,""
432,"a","a",810,5,2013,0,,,""
433,"a","c",30030,11,2010,0,,,""
434,"a","a",13020,8,2003,1,40,2014,"Jan,Apr,Jul,Oct"
435,"a","a",910,,,0,,,""
436,"d","a",2300,,,0,,,""
437,"c","c",430,,,1,50,2010,"Jan,Apr,Jul,Oct"
438,"d","c",1110,,,1,40,2012,"Jan,Apr,Jul,Oct"
439,"a","a",1350,9,2009,0,,,""
440,"d","a",3900,4,2005,1,45,2009,"Feb,May,Aug,Nov"
441,"d","a",2530,,,0,,,""
442,"c","a",500,,,1,45,2009,"Feb,May,Aug,Nov"
443,"d","a",11400,12,2005,0,,,""
444,"c","a",1700,11,2009,0,,,""
445,"a","a",240,,,0,,,""
446,"a","a",340,10,2000,1,31,2013,"Feb,May,Aug,Nov"
447,"a","c",1510,9,2013,0,,,""
448,"a","c",3970,9,2009,0,,,""
449,"a","c",120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
450,"c","a",5780,11,1994,1,10,2014,"Mar,Jun,Sept,Dec"
451,"a","a",2460,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
452,"a","c",1850,8,2013,1,5,2011,"Feb,May,Aug,Nov"
453,"a","c",75860,,,0,,,""
454,"a","a",26450,,,0,,,""
455,"d","c",7660,9,2010,0,,,""
456,"a","c",140,,,0,,,""
457,"d","c",13140,,,1,31,2013,"Jan,Apr,Jul,Oct"
458,"c","a",3390,,,0,,,""
459,"a","a",250,9,2008,1,5,2013,"Feb,May,Aug,Nov"
460,"a","a",34050,4,2008,0,,,""
461,"d","c",1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
462,"a","a",44320,8,2008,0,,,""
463,"a","a",4160,,,0,,,""
464,"c","a",520,3,2009,0,,,""
465,"d","c",10890,4,2005,0,,,""
466,"a","c",3110,3,2003,0,,,""
467,"a","c",20390,4,2008,0,,,""
468,"c","c",5260,9,2012,0,,,""
469,"c","c",710,9,2005,0,,,""
470,"a","c",50,,,0,,,""
471,"d","a",5300,,,1,45,2009,"Feb,May,Aug,Nov"
472,"c","c",5030,8,2011,0,,,""
473,"a","a",50,,,0,,,""
474,"c","a",14810,,,1,14,2011,"Mar,Jun,Sept,Dec"
475,"a","a",140,9,2005,0,,,""
